Organization,entity_and_date,,,grant_amount
"Fisk University, T.O.P.S.",Metro Arts & ABC 1988-89,Metro,1988-89,"2,500"
"Fisk University, Van Vechten Gallery",Metro Arts & ABC 1988-89,Metro,1988-89,"3,000"
Flatrock Heritage Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Friends of Centennial Park & Parthenon,Metro Arts & ABC 1988-89,Metro,1988-89,0
Friends of Warner Parks,Metro Arts & ABC 1988-89,Metro,1988-89,0
Frist Center for the Visual Arts,Metro Arts & ABC 1988-89,Metro,1988-89,0
From Nashville to the World,Metro Arts & ABC 1988-89,Metro,1988-89,0
Girl Scout Council,Metro Arts & ABC 1988-89,Metro,1988-89,0
Girls Write Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Global Education Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Global Nashville: Building Bridges of Compassion,Metro Arts & ABC 1988-89,Metro,1988-89,0
Gordon Jewish Community Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Grand Master Fiddler Championship,Metro Arts & ABC 1988-89,Metro,1988-89,0
Greater Nashville Arts Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Green Room Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Hands on with Zig,Metro Arts & ABC 1988-89,Metro,1988-89,0
Handweavers Guild,Metro Arts & ABC 1988-89,Metro,1988-89,0
Happy Healthy Creative Whole Me,Metro Arts & ABC 1988-89,Metro,1988-89,0
Harriet Beecher Stowe: A Literary Soldier,Metro Arts & ABC 1988-89,Metro,1988-89,0
Healing Arts Project Inc. (HAPI),Metro Arts & ABC 1988-89,Metro,1988-89,0
Henna Art and Bollywood Junction,Metro Arts & ABC 1988-89,Metro,1988-89,0
Hijab Ballet Showcase,Metro Arts & ABC 1988-89,Metro,1988-89,0
Historic Germantown,Metro Arts & ABC 1988-89,Metro,1988-89,0
Historic Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
History Alive!,Metro Arts & ABC 1988-89,Metro,1988-89,0
Humanities Tennessee (formerly Tennessee Humanities Council),Metro Arts & ABC 1988-89,Metro,1988-89,0
Ideaprov,Metro Arts & ABC 1988-89,Metro,1988-89,0
Impressions Temporary Mural Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Indian Painting with Sabita,Metro Arts & ABC 1988-89,Metro,1988-89,0
Insight Salons,Metro Arts & ABC 1988-89,Metro,1988-89,0
International Folk Dancing,Metro Arts & ABC 1988-89,Metro,1988-89,0
Intersection,Metro Arts & ABC 1988-89,Metro,1988-89,0
JAI 2 HYPE - Just and Idea Arts Academy,Metro Arts & ABC 1988-89,Metro,1988-89,0
Jefferson Street Art Crawl,Metro Arts & ABC 1988-89,Metro,1988-89,0
Jefferson Street United Merchants Partnership (JUMP),Metro Arts & ABC 1988-89,Metro,1988-89,0
John Work Memorial Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,"1,000"
Kids on the Block,Metro Arts & ABC 1988-89,Metro,1988-89,0
Lakewood Theatre Company,Metro Arts & ABC 1988-89,Metro,1988-89,0
Leonard Bernstein Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Lionheart Wellness Class and Dance-a-thon,Metro Arts & ABC 1988-89,Metro,1988-89,0
Lipscomb University,Metro Arts & ABC 1988-89,Metro,1988-89,0
Live Music in America,Metro Arts & ABC 1988-89,Metro,1988-89,0
Living Photo: Celebrating 100 Years of Old Hickory,Metro Arts & ABC 1988-89,Metro,1988-89,0
Local's Cut: Edgehill Village,Metro Arts & ABC 1988-89,Metro,1988-89,0
Lost Boys Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Luthern Services in Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
Madison Bluegrass Festival,Metro Arts & ABC 1988-89,Metro,1988-89,0
Mapping McGruder,Metro Arts & ABC 1988-89,Metro,1988-89,0
Martha O'Bryan Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Metro Education Access Corporation (MEAC),Metro Arts & ABC 1988-89,Metro,1988-89,0
Metro Nashville Chorus,Metro Arts & ABC 1988-89,Metro,1988-89,0
"Middle Tennessee Mental Health & Substance Abuse Coalition (program became indepent nonprofit Healing Arts Project, Inc.)",Metro Arts & ABC 1988-89,Metro,1988-89,0
Mockingbird Public Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
Monroe Harding,Metro Arts & ABC 1988-89,Metro,1988-89,0
Moves & Grooves,Metro Arts & ABC 1988-89,Metro,1988-89,0
Music City Blues Society,Metro Arts & ABC 1988-89,Metro,1988-89,0
Music City Chorus,Metro Arts & ABC 1988-89,Metro,1988-89,0
Music City Youth Orchestra,Metro Arts & ABC 1988-89,Metro,1988-89,0
Music for L.I.F.E.,Metro Arts & ABC 1988-89,Metro,1988-89,0
Music For Seniors,Metro Arts & ABC 1988-89,Metro,1988-89,0
Music Programming for the Homeless,Metro Arts & ABC 1988-89,Metro,1988-89,0
Musical History of Joe Hill and the Early Labor Movement Davidson County Tour,Metro Arts & ABC 1988-89,Metro,1988-89,0
My Favorite Song!,Metro Arts & ABC 1988-89,Metro,1988-89,0
N-4ART,Metro Arts & ABC 1988-89,Metro,1988-89,0
Napier-Sudekum Community Identity,Metro Arts & ABC 1988-89,Metro,1988-89,0
Narrow Way Productions (NWP),Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville 5-Shot Shorts,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Artists Guild,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Ballet,Metro Arts & ABC 1988-89,Metro,1988-89,"25,000"
Nashville Children's Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,"5,300"
Nashville Community Concerts,Metro Arts & ABC 1988-89,Metro,1988-89,"2,500"
Nashville Cultural Arts Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Sister Cities of Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Film Festival (formerly Sinking Creek Festival),Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Gospel Ministry,Metro Arts & ABC 1988-89,Metro,1988-89,"2,000"
Nashville in Harmony,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Institute for the Arts,Metro Arts & ABC 1988-89,Metro,1988-89,"40,000"
Nashville Jazz Orchestra,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Jazz Workshop,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Makes Zines,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Opera Association,Metro Arts & ABC 1988-89,Metro,1988-89,"18,000"
Nashville Philharmonic Orchestra,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Please Don't Litter,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Public Library Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Public Radio,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Public Television,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Repertory Theatre (formerly Tennessee Repertory Theatre),Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Screenwriter's Conference,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Shakespeare Festival,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Singers,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Swing Dance Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Symphony,Metro Arts & ABC 1988-89,Metro,1988-89,"250,000"
Nashville Talking Chairs,Metro Arts & ABC 1988-89,Metro,1988-89,0
Nashville Theatre Works,Metro Arts & ABC 1988-89,Metro,1988-89,0
NashvilleREAD,Metro Arts & ABC 1988-89,Metro,1988-89,0
National Museum of African American Music,Metro Arts & ABC 1988-89,Metro,1988-89,0
Native American Indian Association of Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
New Dialect,Metro Arts & ABC 1988-89,Metro,1988-89,0
New Vision,Metro Arts & ABC 1988-89,Metro,1988-89,0
"Next Door, Inc",Metro Arts & ABC 1988-89,Metro,1988-89,0
Norf Art Collective,Metro Arts & ABC 1988-89,Metro,1988-89,0
Oasis Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Old Hickory Village Centennial Celebration Time Capsule,Metro Arts & ABC 1988-89,Metro,1988-89,0
Old Time Music & Dance,Metro Arts & ABC 1988-89,Metro,1988-89,0
Orchestra Nashville/Nashville Chamber Orchestra,Metro Arts & ABC 1988-89,Metro,1988-89,0
Outside the Box,Metro Arts & ABC 1988-89,Metro,1988-89,0
OZ Arts Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
PENCIL Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Peoples Branch Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
Pikesproject (#Pikesproject),Metro Arts & ABC 1988-89,Metro,1988-89,0
Planned Parenthood of Middle Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
Plowhaus,Metro Arts & ABC 1988-89,Metro,1988-89,0
Porch Writers' Collective,Metro Arts & ABC 1988-89,Metro,1988-89,0
