Organization,entity_and_date,,,grant_amount
Nashville Philharmonic Orchestra,Metro 2015-16,Metro,2015-16,"1,700"
Nashville Please Don't Litter,Metro 2015-16,Metro,2015-16,0
Nashville Public Library Foundation,Metro 2015-16,Metro,2015-16,0
Nashville Public Radio,Metro 2015-16,Metro,2015-16,0
Nashville Public Television,Metro 2015-16,Metro,2015-16,"3,100"
Nashville Repertory Theatre (formerly Tennessee Repertory Theatre),Metro 2015-16,Metro,2015-16,0
Nashville Screenwriter's Conference,Metro 2015-16,Metro,2015-16,0
Nashville Shakespeare Festival,Metro 2015-16,Metro,2015-16,"55,000"
Nashville Singers,Metro 2015-16,Metro,2015-16,0
Nashville Swing Dance Foundation,Metro 2015-16,Metro,2015-16,0
Nashville Symphony,Metro 2015-16,Metro,2015-16,"126,040"
Nashville Talking Chairs,Metro 2015-16,Metro,2015-16,0
Nashville Theatre Works,Metro 2015-16,Metro,2015-16,0
NashvilleREAD,Metro 2015-16,Metro,2015-16,0
National Museum of African American Music,Metro 2015-16,Metro,2015-16,"4,400"
Native American Indian Association of Tennessee,Metro 2015-16,Metro,2015-16,"3,400"
New Dialect,Metro 2015-16,Metro,2015-16,0
New Vision,Metro 2015-16,Metro,2015-16,0
"Next Door, Inc",Metro 2015-16,Metro,2015-16,0
Norf Art Collective,Metro 2015-16,Metro,2015-16,0
Oasis Center,Metro 2015-16,Metro,2015-16,"3,050"
Old Hickory Village Centennial Celebration Time Capsule,Metro 2015-16,Metro,2015-16,0
Old Time Music & Dance,Metro 2015-16,Metro,2015-16,0
Orchestra Nashville/Nashville Chamber Orchestra,Metro 2015-16,Metro,2015-16,0
Outside the Box,Metro 2015-16,Metro,2015-16,0
OZ Arts Nashville,Metro 2015-16,Metro,2015-16,0
PENCIL Foundation,Metro 2015-16,Metro,2015-16,"2,305"
Peoples Branch Theatre,Metro 2015-16,Metro,2015-16,0
Pikesproject (#Pikesproject),Metro 2015-16,Metro,2015-16,0
Planned Parenthood of Middle Tennessee,Metro 2015-16,Metro,2015-16,0
Plowhaus,Metro 2015-16,Metro,2015-16,0
Porch Writers' Collective,Metro 2015-16,Metro,2015-16,0
Poverty and the Arts,Metro 2015-16,Metro,2015-16,0
Pro Musica,Metro 2015-16,Metro,2015-16,0
Project 24,Metro 2015-16,Metro,2015-16,0
Project Return,Metro 2015-16,Metro,2015-16,0
Queens Among Us,Metro 2015-16,Metro,2015-16,0
Race Relations Institute,Metro 2015-16,Metro,2015-16,0
Rediscover East!,Metro 2015-16,Metro,2015-16,0
Rejoice School of Ballet,Metro 2015-16,Metro,2015-16,0
Ridley Temple Foundation,Metro 2015-16,Metro,2015-16,0
Rocketown of Middle Tennessee,Metro 2015-16,Metro,2015-16,0
Room in the Inn,Metro 2015-16,Metro,2015-16,0
Ruby Green Foundation,Metro 2015-16,Metro,2015-16,0
Salama Urban Ministries,Metro 2015-16,Metro,2015-16,0
Salvation Army of Nashville,Metro 2015-16,Metro,2015-16,0
Sankofa African Drum and Dance Company,Metro 2015-16,Metro,2015-16,0
Saturday in the Arts Day Camp,Metro 2015-16,Metro,2015-16,0
Scarritt-Bennett Center,Metro 2015-16,Metro,2015-16,0
Senior Center for the Arts,Metro 2015-16,Metro,2015-16,"25,200"
Sexual Assault Center,Metro 2015-16,Metro,2015-16,0
Shelby Bottom String Band,Metro 2015-16,Metro,2015-16,0
Social Movement Gallery,Metro 2015-16,Metro,2015-16,0
Southern Word (formerly Youth Speaks Nashville),Metro 2015-16,Metro,2015-16,"30,175"
St. Luke's Community House,Metro 2015-16,Metro,2015-16,0
StageWorks,Metro 2015-16,Metro,2015-16,0
Storytelling Project,Metro 2015-16,Metro,2015-16,0
Street Style Project,Metro 2015-16,Metro,2015-16,0
Street Theatre Company,Metro 2015-16,Metro,2015-16,"16,200"
Sudan Acholi Community of Tennessee,Metro 2015-16,Metro,2015-16,0
Tango Nashville,Metro 2015-16,Metro,2015-16,0
Tennessee Association for the Preservation & Perpetuation of Storytelling (TAPPS),Metro 2015-16,Metro,2015-16,0
Temple Academy of Music,Metro 2015-16,Metro,2015-16,0
Tennessee Art League,Metro 2015-16,Metro,2015-16,0
Tennessee Artists' Guild,Metro 2015-16,Metro,2015-16,0
Tennessee Association of Craft Artists (DBA Tennessee Craft),Metro 2015-16,Metro,2015-16,"43,000"
Tennessee Chamber Chorale,Metro 2015-16,Metro,2015-16,0
Tennessee Committee for Prevention of Child Abuse,Metro 2015-16,Metro,2015-16,0
Tennessee Committee of National Musuem of Women in the Arts,Metro 2015-16,Metro,2015-16,0
Tennessee Dance Theatre,Metro 2015-16,Metro,2015-16,0
Tennessee Fox Trot Carousel,Metro 2015-16,Metro,2015-16,0
Tennessee Grassroots Festival,Metro 2015-16,Metro,2015-16,0
Tennessee Jazz & Blues Society,Metro 2015-16,Metro,2015-16,0
Tennessee Opera,Metro 2015-16,Metro,2015-16,0
Tennessee Performing Arts Center,Metro 2015-16,Metro,2015-16,"135,565"
"Tennessee Performing Arts Center, Rock Wedding",Metro 2015-16,Metro,2015-16,0
Tennessee Repertory Theatre,Metro 2015-16,Metro,2015-16,"82,400"
Tennessee Screenwriting Association,Metro 2015-16,Metro,2015-16,0
Tennessee State Museum,Metro 2015-16,Metro,2015-16,0
Tennessee Theatre Company,Metro 2015-16,Metro,2015-16,0
Tennessee Women's Theatre Project,Metro 2015-16,Metro,2015-16,"15,831"
Theater Bug,Metro 2015-16,Metro,2015-16,0
Therapeutic and Creative Arts,Metro 2015-16,Metro,2015-16,0
Travellers' Rest,Metro 2015-16,Metro,2015-16,0
Turnip Green Creative Reuse,Metro 2015-16,Metro,2015-16,0
Uhuru Dance Company,Metro 2015-16,Metro,2015-16,0
UnLocked,Metro 2015-16,Metro,2015-16,0
Untitled,Metro 2015-16,Metro,2015-16,0
Unveiling the Voice Within,Metro 2015-16,Metro,2015-16,0
"Vanderbilt University, Kennedy Center",Metro 2015-16,Metro,2015-16,0
"Vanderbilt University, Sarratt Student Center",Metro 2015-16,Metro,2015-16,0
Village Cultural Arts Center,Metro 2015-16,Metro,2015-16,0
Village Records,Metro 2015-16,Metro,2015-16,0
Visual Arts Alliance of Nashville (VAAN),Metro 2015-16,Metro,2015-16,0
Voices on the Edge: Keeping and Including all of Edgehill,Metro 2015-16,Metro,2015-16,0
Voices Unwavering,Metro 2015-16,Metro,2015-16,0
Volunteers/Imprv. 20th Dist.,Metro 2015-16,Metro,2015-16,0
VSA Arts Tennessee,Metro 2015-16,Metro,2015-16,0
W.O. Smith Nashville Community Music School,Metro 2015-16,Metro,2015-16,"63,000"
Wade,Metro 2015-16,Metro,2015-16,0
Walking Within Your Creative Right,Metro 2015-16,Metro,2015-16,0
"Watkins College of Art, Design & Film (formerly Watkins Institute)",Metro 2015-16,Metro,2015-16,"121,357"
West End Middle School PTSO,Metro 2015-16,Metro,2015-16,0
Who am I: Exploring the Self through Painting and Writing,Metro 2015-16,Metro,2015-16,0
Women/Music/Entertainment,Metro 2015-16,Metro,2015-16,0
Women's Veterans Expressive Arts Workshop and Symposium,Metro 2015-16,Metro,2015-16,0
Woodbine Community Organization,Metro 2015-16,Metro,2015-16,0
Word Box Project,Metro 2015-16,Metro,2015-16,0
Wordsmith,Metro 2015-16,Metro,2015-16,0
Working it Out,Metro 2015-16,Metro,2015-16,0
Writing as Resistance,Metro 2015-16,Metro,2015-16,0
Writers Stage,Metro 2015-16,Metro,2015-16,0
Young People's Freedom Choir,Metro 2015-16,Metro,2015-16,0
Youth Empowerment through the Arts & Humanities (YEAH!),Metro 2015-16,Metro,2015-16,"12,500"
Youth Voices Breakout,Metro 2015-16,Metro,2015-16,0
"YMCA of Middle Tennessee, artEmbrace",Metro 2015-16,Metro,2015-16,0
Youth Life Foundation,Metro 2015-16,Metro,2015-16,0
YWCA,Metro 2015-16,Metro,2015-16,0
Zen Quilting Guild,Metro 2015-16,Metro,2015-16,0
abrasiveMedia,THRIVE 2015-16,Metro,2015-16,0
ACT I Theatre,THRIVE 2015-16,Metro,2015-16,0
Acting Studio,THRIVE 2015-16,Metro,2015-16,0
Actor's Bridge Ensemble Theatre of Nashville,THRIVE 2015-16,Metro,2015-16,0
Actor's Playhouse,THRIVE 2015-16,Metro,2015-16,0
Adventure Science Center,THRIVE 2015-16,Metro,2015-16,0
Africa is…,THRIVE 2015-16,Metro,2015-16,0
African American Cultural Alliance,THRIVE 2015-16,Metro,2015-16,0
Afrofuturism Dance,THRIVE 2015-16,Metro,2015-16,0
ALIAS Chamber Ensemble,THRIVE 2015-16,Metro,2015-16,0
American Artisan Festival,THRIVE 2015-16,Metro,2015-16,0
American Negro Playwright Theatre,THRIVE 2015-16,Metro,2015-16,0
American Roots Music Education,THRIVE 2015-16,Metro,2015-16,0
Andrew Jackson's Hermitage,THRIVE 2015-16,Metro,2015-16,0
Art and Nature Adventures,THRIVE 2015-16,Metro,2015-16,0
Arte de Libertad/Freedom Arts,THRIVE 2015-16,Metro,2015-16,0
Arts and Business Council of Greater Nashville,THRIVE 2015-16,Metro,2015-16,0
Arts in the Airport,THRIVE 2015-16,Metro,2015-16,0
ArtSynergy,THRIVE 2015-16,Metro,2015-16,0
Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),THRIVE 2015-16,Metro,2015-16,0
Athena Fund,THRIVE 2015-16,Metro,2015-16,0
AthensSouth Theatre,THRIVE 2015-16,Metro,2015-16,0
Beautiful Brown Faces,THRIVE 2015-16,Metro,2015-16,0
Belcourt Theatre,THRIVE 2015-16,Metro,2015-16,0
Belle Meade Plantation,THRIVE 2015-16,Metro,2015-16,0
"Bellevue Edible Learning Lab, Inc.",THRIVE 2015-16,Metro,2015-16,0
Bellevue Exchange Club,THRIVE 2015-16,Metro,2015-16,0
Bethlehlem Center,THRIVE 2015-16,Metro,2015-16,0
Blackbird,THRIVE 2015-16,Metro,2015-16,0
Blackbird Theatre,THRIVE 2015-16,Metro,2015-16,0
Blair School of Music,THRIVE 2015-16,Metro,2015-16,0
Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),THRIVE 2015-16,Metro,2015-16,0
Bridging Two Rivers,THRIVE 2015-16,Metro,2015-16,"8,000"
BroadAxe Theatre Inc.,THRIVE 2015-16,Metro,2015-16,0
C.A.L.L. Project,THRIVE 2015-16,Metro,2015-16,0
C.O.L.O.R. Project,THRIVE 2015-16,Metro,2015-16,0
CAAC Dance,THRIVE 2015-16,Metro,2015-16,0
Center for Refugees & Immigrants in Tennessee,THRIVE 2015-16,Metro,2015-16,0
Centerstone,THRIVE 2015-16,Metro,2015-16,0
Cheekwood,THRIVE 2015-16,Metro,2015-16,0
Children's Arts & Ideas,THRIVE 2015-16,Metro,2015-16,0
Chinese Arts Alliance of Nashville,THRIVE 2015-16,Metro,2015-16,0
Choral Arts Link,THRIVE 2015-16,Metro,2015-16,0
Circle Players,THRIVE 2015-16,Metro,2015-16,0
Civil Rap Movement,THRIVE 2015-16,Metro,2015-16,0
Cleveland Park Community Mural,THRIVE 2015-16,Metro,2015-16,0
Cleveland Park Neighborhood Story Project,THRIVE 2015-16,Metro,2015-16,"4,000"
Community Concerts Inc.,THRIVE 2015-16,Metro,2015-16,0
Community Resource Center,THRIVE 2015-16,Metro,2015-16,0
Concert Chorale,THRIVE 2015-16,Metro,2015-16,0
Conexion Americas,THRIVE 2015-16,Metro,2015-16,0
Country Music Foundation (DBA Country Music Hall of Fame and Museum),THRIVE 2015-16,Metro,2015-16,0
Creative Artists of Tennessee (CATS),THRIVE 2015-16,Metro,2015-16,0
Cultural Arts Enrichment Program,THRIVE 2015-16,Metro,2015-16,0
Cumberland Garden Communitiy Mural,THRIVE 2015-16,Metro,2015-16,"4,000"
Cumberland View Community Mural,THRIVE 2015-16,Metro,2015-16,0
Cumberland Science Museum,THRIVE 2015-16,Metro,2015-16,0
Curating a Public Self,THRIVE 2015-16,Metro,2015-16,"4,000"
Dancing Through the Curriculum,THRIVE 2015-16,Metro,2015-16,0
Davidson County 4-H,THRIVE 2015-16,Metro,2015-16,0
Destellos,THRIVE 2015-16,Metro,2015-16,0
Discover Madison,THRIVE 2015-16,Metro,2015-16,0
"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",THRIVE 2015-16,Metro,2015-16,0
Drum and a Dream,THRIVE 2015-16,Metro,2015-16,0
Drumnastics,THRIVE 2015-16,Metro,2015-16,0
EarthTone,THRIVE 2015-16,Metro,2015-16,0
East Nashville Center For Creative Arts,THRIVE 2015-16,Metro,2015-16,0
East Nashville Hope Exchange,THRIVE 2015-16,Metro,2015-16,0
Eco Poetic Way,THRIVE 2015-16,Metro,2015-16,0
Edgehill Center,THRIVE 2015-16,Metro,2015-16,0
Edgehill United Methodist Church,THRIVE 2015-16,Metro,2015-16,0
Educating Our Youth,THRIVE 2015-16,Metro,2015-16,0
End of Rodney Productions,THRIVE 2015-16,Metro,2015-16,0
Epiphany,THRIVE 2015-16,Metro,2015-16,0
Facing Nashville,THRIVE 2015-16,Metro,2015-16,"4,000"
Faith and Culture Center,THRIVE 2015-16,Metro,2015-16,0
Family & Children's Services,THRIVE 2015-16,Metro,2015-16,0
L.A.S. Therapy Network,THRIVE 2015-16,Metro,2015-16,0
FiftyForward,THRIVE 2015-16,Metro,2015-16,0
"Fisk University, Department of Music",THRIVE 2015-16,Metro,2015-16,0
"Fisk University, T.O.P.S.",THRIVE 2015-16,Metro,2015-16,0
"Fisk University, Van Vechten Gallery",THRIVE 2015-16,Metro,2015-16,0
Flatrock Heritage Foundation,THRIVE 2015-16,Metro,2015-16,0
Friends of Centennial Park & Parthenon,THRIVE 2015-16,Metro,2015-16,0
Friends of Warner Parks,THRIVE 2015-16,Metro,2015-16,0
Frist Center for the Visual Arts,THRIVE 2015-16,Metro,2015-16,0
From Nashville to the World,THRIVE 2015-16,Metro,2015-16,0
Girl Scout Council,THRIVE 2015-16,Metro,2015-16,0
Girls Write Nashville,THRIVE 2015-16,Metro,2015-16,0
Global Education Center,THRIVE 2015-16,Metro,2015-16,0
Global Nashville: Building Bridges of Compassion,THRIVE 2015-16,Metro,2015-16,0
Gordon Jewish Community Center,THRIVE 2015-16,Metro,2015-16,0
Grand Master Fiddler Championship,THRIVE 2015-16,Metro,2015-16,0
Greater Nashville Arts Foundation,THRIVE 2015-16,Metro,2015-16,0
Green Room Project,THRIVE 2015-16,Metro,2015-16,0
Hands on with Zig,THRIVE 2015-16,Metro,2015-16,0
Handweavers Guild,THRIVE 2015-16,Metro,2015-16,0
Happy Healthy Creative Whole Me,THRIVE 2015-16,Metro,2015-16,0
Harriet Beecher Stowe: A Literary Soldier,THRIVE 2015-16,Metro,2015-16,0
Healing Arts Project Inc. (HAPI),THRIVE 2015-16,Metro,2015-16,0
Henna Art and Bollywood Junction,THRIVE 2015-16,Metro,2015-16,"4,000"
Hijab Ballet Showcase,THRIVE 2015-16,Metro,2015-16,0
Historic Germantown,THRIVE 2015-16,Metro,2015-16,0
Historic Nashville,THRIVE 2015-16,Metro,2015-16,0
History Alive!,THRIVE 2015-16,Metro,2015-16,0
Humanities Tennessee (formerly Tennessee Humanities Council),THRIVE 2015-16,Metro,2015-16,0
Ideaprov,THRIVE 2015-16,Metro,2015-16,0
Impressions Temporary Mural Project,THRIVE 2015-16,Metro,2015-16,0
Indian Painting with Sabita,THRIVE 2015-16,Metro,2015-16,0
Insight Salons,THRIVE 2015-16,Metro,2015-16,0
International Folk Dancing,THRIVE 2015-16,Metro,2015-16,0
Intersection,THRIVE 2015-16,Metro,2015-16,0
JAI 2 HYPE - Just and Idea Arts Academy,THRIVE 2015-16,Metro,2015-16,0
Jefferson Street Art Crawl,THRIVE 2015-16,Metro,2015-16,0
Jefferson Street United Merchants Partnership (JUMP),THRIVE 2015-16,Metro,2015-16,0
John Work Memorial Foundation,THRIVE 2015-16,Metro,2015-16,0
Kids on the Block,THRIVE 2015-16,Metro,2015-16,0
Lakewood Theatre Company,THRIVE 2015-16,Metro,2015-16,0
Leonard Bernstein Center,THRIVE 2015-16,Metro,2015-16,0
Lionheart Wellness Class and Dance-a-thon,THRIVE 2015-16,Metro,2015-16,0
Lipscomb University,THRIVE 2015-16,Metro,2015-16,0
Live Music in America,THRIVE 2015-16,Metro,2015-16,0
Living Photo: Celebrating 100 Years of Old Hickory,THRIVE 2015-16,Metro,2015-16,0
Local's Cut: Edgehill Village,THRIVE 2015-16,Metro,2015-16,0
Lost Boys Foundation,THRIVE 2015-16,Metro,2015-16,0
Luthern Services in Tennessee,THRIVE 2015-16,Metro,2015-16,0
Madison Bluegrass Festival,THRIVE 2015-16,Metro,2015-16,0
Mapping McGruder,THRIVE 2015-16,Metro,2015-16,0
Martha O'Bryan Center,THRIVE 2015-16,Metro,2015-16,0
Metro Education Access Corporation (MEAC),THRIVE 2015-16,Metro,2015-16,0
Metro Nashville Chorus,THRIVE 2015-16,Metro,2015-16,0
"Middle Tennessee Mental Health & Substance Abuse Coalition (program became indepent nonprofit Healing Arts Project, Inc.)",THRIVE 2015-16,Metro,2015-16,0
Mockingbird Public Theatre,THRIVE 2015-16,Metro,2015-16,0
Monroe Harding,THRIVE 2015-16,Metro,2015-16,0
Moves & Grooves,THRIVE 2015-16,Metro,2015-16,0
Music City Blues Society,THRIVE 2015-16,Metro,2015-16,0
Music City Chorus,THRIVE 2015-16,Metro,2015-16,0
Music City Youth Orchestra,THRIVE 2015-16,Metro,2015-16,0
Music for L.I.F.E.,THRIVE 2015-16,Metro,2015-16,0
Music For Seniors,THRIVE 2015-16,Metro,2015-16,0
Music Programming for the Homeless,THRIVE 2015-16,Metro,2015-16,0
Musical History of Joe Hill and the Early Labor Movement Davidson County Tour,THRIVE 2015-16,Metro,2015-16,0
My Favorite Song!,THRIVE 2015-16,Metro,2015-16,0
N-4ART,THRIVE 2015-16,Metro,2015-16,0
Napier-Sudekum Community Identity,THRIVE 2015-16,Metro,2015-16,0
Narrow Way Productions (NWP),THRIVE 2015-16,Metro,2015-16,0
Nashville 5-Shot Shorts,THRIVE 2015-16,Metro,2015-16,0
Nashville Artists Guild,THRIVE 2015-16,Metro,2015-16,0
Nashville Ballet,THRIVE 2015-16,Metro,2015-16,0
Nashville Children's Theatre,THRIVE 2015-16,Metro,2015-16,0
Nashville Community Concerts,THRIVE 2015-16,Metro,2015-16,0
Nashville Cultural Arts Project,THRIVE 2015-16,Metro,2015-16,0
Sister Cities of Nashville,THRIVE 2015-16,Metro,2015-16,0
Nashville Film Festival (formerly Sinking Creek Festival),THRIVE 2015-16,Metro,2015-16,0
Nashville Gospel Ministry,THRIVE 2015-16,Metro,2015-16,0
Nashville in Harmony,THRIVE 2015-16,Metro,2015-16,0
Nashville Institute for the Arts,THRIVE 2015-16,Metro,2015-16,0
Nashville Jazz Orchestra,THRIVE 2015-16,Metro,2015-16,0
Nashville Jazz Workshop,THRIVE 2015-16,Metro,2015-16,0
Nashville Makes Zines,THRIVE 2015-16,Metro,2015-16,0
Nashville Opera Association,THRIVE 2015-16,Metro,2015-16,0
Nashville Philharmonic Orchestra,THRIVE 2015-16,Metro,2015-16,0
Nashville Please Don't Litter,THRIVE 2015-16,Metro,2015-16,"4,000"
Nashville Public Library Foundation,THRIVE 2015-16,Metro,2015-16,0
Nashville Public Radio,THRIVE 2015-16,Metro,2015-16,0
Nashville Public Television,THRIVE 2015-16,Metro,2015-16,0
Nashville Repertory Theatre (formerly Tennessee Repertory Theatre),THRIVE 2015-16,Metro,2015-16,0
Nashville Screenwriter's Conference,THRIVE 2015-16,Metro,2015-16,0
Nashville Shakespeare Festival,THRIVE 2015-16,Metro,2015-16,0
Nashville Singers,THRIVE 2015-16,Metro,2015-16,0
Nashville Swing Dance Foundation,THRIVE 2015-16,Metro,2015-16,0
Nashville Symphony,THRIVE 2015-16,Metro,2015-16,0
Nashville Talking Chairs,THRIVE 2015-16,Metro,2015-16,0
Nashville Theatre Works,THRIVE 2015-16,Metro,2015-16,0
NashvilleREAD,THRIVE 2015-16,Metro,2015-16,0
National Museum of African American Music,THRIVE 2015-16,Metro,2015-16,0
Native American Indian Association of Tennessee,THRIVE 2015-16,Metro,2015-16,0
New Dialect,THRIVE 2015-16,Metro,2015-16,0
New Vision,THRIVE 2015-16,Metro,2015-16,0
"Next Door, Inc",THRIVE 2015-16,Metro,2015-16,0
Norf Art Collective,THRIVE 2015-16,Metro,2015-16,"4,000"
Oasis Center,THRIVE 2015-16,Metro,2015-16,0
Old Hickory Village Centennial Celebration Time Capsule,THRIVE 2015-16,Metro,2015-16,0
Old Time Music & Dance,THRIVE 2015-16,Metro,2015-16,0
Orchestra Nashville/Nashville Chamber Orchestra,THRIVE 2015-16,Metro,2015-16,0
Outside the Box,THRIVE 2015-16,Metro,2015-16,0
OZ Arts Nashville,THRIVE 2015-16,Metro,2015-16,0
PENCIL Foundation,THRIVE 2015-16,Metro,2015-16,0
Peoples Branch Theatre,THRIVE 2015-16,Metro,2015-16,0
Pikesproject (#Pikesproject),THRIVE 2015-16,Metro,2015-16,0
Planned Parenthood of Middle Tennessee,THRIVE 2015-16,Metro,2015-16,0
Plowhaus,THRIVE 2015-16,Metro,2015-16,0
Porch Writers' Collective,THRIVE 2015-16,Metro,2015-16,0
Poverty and the Arts,THRIVE 2015-16,Metro,2015-16,0
Pro Musica,THRIVE 2015-16,Metro,2015-16,0
Project 24,THRIVE 2015-16,Metro,2015-16,0
Project Return,THRIVE 2015-16,Metro,2015-16,0
Queens Among Us,THRIVE 2015-16,Metro,2015-16,0
Race Relations Institute,THRIVE 2015-16,Metro,2015-16,0
Rediscover East!,THRIVE 2015-16,Metro,2015-16,0
Rejoice School of Ballet,THRIVE 2015-16,Metro,2015-16,0
Ridley Temple Foundation,THRIVE 2015-16,Metro,2015-16,0
Rocketown of Middle Tennessee,THRIVE 2015-16,Metro,2015-16,0
Room in the Inn,THRIVE 2015-16,Metro,2015-16,0
Ruby Green Foundation,THRIVE 2015-16,Metro,2015-16,0
Salama Urban Ministries,THRIVE 2015-16,Metro,2015-16,0
Salvation Army of Nashville,THRIVE 2015-16,Metro,2015-16,0
Sankofa African Drum and Dance Company,THRIVE 2015-16,Metro,2015-16,0
Saturday in the Arts Day Camp,THRIVE 2015-16,Metro,2015-16,0
Scarritt-Bennett Center,THRIVE 2015-16,Metro,2015-16,0
Senior Center for the Arts,THRIVE 2015-16,Metro,2015-16,0
Sexual Assault Center,THRIVE 2015-16,Metro,2015-16,0
Shelby Bottom String Band,THRIVE 2015-16,Metro,2015-16,0
Social Movement Gallery,THRIVE 2015-16,Metro,2015-16,0
Southern Word (formerly Youth Speaks Nashville),THRIVE 2015-16,Metro,2015-16,0
St. Luke's Community House,THRIVE 2015-16,Metro,2015-16,0
StageWorks,THRIVE 2015-16,Metro,2015-16,0
Storytelling Project,THRIVE 2015-16,Metro,2015-16,"4,000"
Street Style Project,THRIVE 2015-16,Metro,2015-16,0
Street Theatre Company,THRIVE 2015-16,Metro,2015-16,0
Sudan Acholi Community of Tennessee,THRIVE 2015-16,Metro,2015-16,0
Tango Nashville,THRIVE 2015-16,Metro,2015-16,0
Tennessee Association for the Preservation & Perpetuation of Storytelling (TAPPS),THRIVE 2015-16,Metro,2015-16,0
Temple Academy of Music,THRIVE 2015-16,Metro,2015-16,0
Tennessee Art League,THRIVE 2015-16,Metro,2015-16,0
Tennessee Artists' Guild,THRIVE 2015-16,Metro,2015-16,0
Tennessee Association of Craft Artists (DBA Tennessee Craft),THRIVE 2015-16,Metro,2015-16,0
Tennessee Chamber Chorale,THRIVE 2015-16,Metro,2015-16,0
Tennessee Committee for Prevention of Child Abuse,THRIVE 2015-16,Metro,2015-16,0
Tennessee Committee of National Musuem of Women in the Arts,THRIVE 2015-16,Metro,2015-16,0
Tennessee Dance Theatre,THRIVE 2015-16,Metro,2015-16,0
Tennessee Fox Trot Carousel,THRIVE 2015-16,Metro,2015-16,0
Tennessee Grassroots Festival,THRIVE 2015-16,Metro,2015-16,0
Tennessee Jazz & Blues Society,THRIVE 2015-16,Metro,2015-16,0
Tennessee Opera,THRIVE 2015-16,Metro,2015-16,0
Tennessee Performing Arts Center,THRIVE 2015-16,Metro,2015-16,0
"Tennessee Performing Arts Center, Rock Wedding",THRIVE 2015-16,Metro,2015-16,0
Tennessee Repertory Theatre,THRIVE 2015-16,Metro,2015-16,0
Tennessee Screenwriting Association,THRIVE 2015-16,Metro,2015-16,0
Tennessee State Museum,THRIVE 2015-16,Metro,2015-16,0
Tennessee Theatre Company,THRIVE 2015-16,Metro,2015-16,0
Tennessee Women's Theatre Project,THRIVE 2015-16,Metro,2015-16,0
Theater Bug,THRIVE 2015-16,Metro,2015-16,0
Therapeutic and Creative Arts,THRIVE 2015-16,Metro,2015-16,0
Travellers' Rest,THRIVE 2015-16,Metro,2015-16,0
Turnip Green Creative Reuse,THRIVE 2015-16,Metro,2015-16,0
Uhuru Dance Company,THRIVE 2015-16,Metro,2015-16,0
UnLocked,THRIVE 2015-16,Metro,2015-16,0
Untitled,THRIVE 2015-16,Metro,2015-16,0
Unveiling the Voice Within,THRIVE 2015-16,Metro,2015-16,0
"Vanderbilt University, Kennedy Center",THRIVE 2015-16,Metro,2015-16,0
"Vanderbilt University, Sarratt Student Center",THRIVE 2015-16,Metro,2015-16,0
Village Cultural Arts Center,THRIVE 2015-16,Metro,2015-16,0
Village Records,THRIVE 2015-16,Metro,2015-16,0
Visual Arts Alliance of Nashville (VAAN),THRIVE 2015-16,Metro,2015-16,0
Voices on the Edge: Keeping and Including all of Edgehill,THRIVE 2015-16,Metro,2015-16,0
Voices Unwavering,THRIVE 2015-16,Metro,2015-16,0
Volunteers/Imprv. 20th Dist.,THRIVE 2015-16,Metro,2015-16,0
VSA Arts Tennessee,THRIVE 2015-16,Metro,2015-16,0
W.O. Smith Nashville Community Music School,THRIVE 2015-16,Metro,2015-16,0
Wade,THRIVE 2015-16,Metro,2015-16,0
Walking Within Your Creative Right,THRIVE 2015-16,Metro,2015-16,0
"Watkins College of Art, Design & Film (formerly Watkins Institute)",THRIVE 2015-16,Metro,2015-16,0
West End Middle School PTSO,THRIVE 2015-16,Metro,2015-16,0
Who am I: Exploring the Self through Painting and Writing,THRIVE 2015-16,Metro,2015-16,0
Women/Music/Entertainment,THRIVE 2015-16,Metro,2015-16,0
Women's Veterans Expressive Arts Workshop and Symposium,THRIVE 2015-16,Metro,2015-16,0
Woodbine Community Organization,THRIVE 2015-16,Metro,2015-16,0
Word Box Project,THRIVE 2015-16,Metro,2015-16,"4,000"
Wordsmith,THRIVE 2015-16,Metro,2015-16,0
Working it Out,THRIVE 2015-16,Metro,2015-16,0
Writing as Resistance,THRIVE 2015-16,Metro,2015-16,"4,000"
Writers Stage,THRIVE 2015-16,Metro,2015-16,0
Young People's Freedom Choir,THRIVE 2015-16,Metro,2015-16,0
Youth Empowerment through the Arts & Humanities (YEAH!),THRIVE 2015-16,Metro,2015-16,0
Youth Voices Breakout,THRIVE 2015-16,Metro,2015-16,0
"YMCA of Middle Tennessee, artEmbrace",THRIVE 2015-16,Metro,2015-16,0
Youth Life Foundation,THRIVE 2015-16,Metro,2015-16,0
YWCA,THRIVE 2015-16,Metro,2015-16,0
Zen Quilting Guild,THRIVE 2015-16,Metro,2015-16,0
abrasiveMedia,Metro 2016-17,Metro,2016-17,"8,115"
ACT I Theatre,Metro 2016-17,Metro,2016-17,0
Acting Studio,Metro 2016-17,Metro,2016-17,0
Actor's Bridge Ensemble Theatre of Nashville,Metro 2016-17,Metro,2016-17,"22,800"
Actor's Playhouse,Metro 2016-17,Metro,2016-17,0
Adventure Science Center,Metro 2016-17,Metro,2016-17,0
Africa is…,Metro 2016-17,Metro,2016-17,0
African American Cultural Alliance,Metro 2016-17,Metro,2016-17,0
